Country,Continent,Latitude,Longitude
Afghanistan,Asia,33.9391,67.71
Albania,Europe,41.1533,20.1683
Algeria,Africa,28.0339,1.6596
Angola,Africa,-11.2027,17.8739
Argentina,South America,-38.4161,-63.6167
Armenia,Asia,40.0691,45.0382
Australia,Australia,-25.2744,133.7751
Austria,Europe,47.5162,14.5501
Azerbaijan,Asia,40.1431,47.5769
Bangladesh,Asia,23.685,90.3563
Belarus,Europe,53.7098,27.9534
Belgium,Europe,50.5039,4.4699
Belize,North America,17.1899,-88.4976
Benin,Africa,9.3077,2.3158
Bhutan,Asia,27.5142,90.4336
Bosnia and Herzegovina,Europe,43.9159,17.6791
Botswana,Africa,-22.3285,24.6849
Brazil,South America,-14.235,-51.9253
Bulgaria,Europe,42.7339,25.4858
Burkina Faso,Africa,12.2383,-1.5616
Burundi,Africa,-3.3731,29.9189
Cabo Verde,Africa,16.5388,-23.0418
Cambodia,Asia,12.5657,104.991
Cameroon,Africa,7.3697,12.3547
Canada,North America,56.1304,-106.3468
Central African Republic,Africa,6.6111,20.9394
Chad,Africa,15.4542,18.7322
Chile,South America,-35.6751,-71.543
China,Asia,35.8617,104.1954
Colombia,South America,4.5709,-74.2973
Comoros,Africa,-11.6455,43.3333
Costa Rica,North America,9.7489,-83.7534
Croatia,Europe,45.1,15.2
Cyprus,Europe,35.1264,33.4299
Czech Republic,Europe,49.8175,15.4729
Democratic Republic of the Congo,Africa,-4.0383,21.7587
Denmark,Europe,56.2639,9.5018
Djibouti,Africa,11.8251,42.5903
Dominican Republic,North America,18.7357,-70.1627
Ecuador,South America,-1.8312,-78.1834
Egypt,Africa,26.8206,30.8025
El Salvador,North America,13.7942,-88.8965
Equatorial Guinea,Africa,1.6508,10.2679
Eritrea,Africa,15.1794,39.7823
Estonia,Europe,58.5953,25.0136
Eswatini,Africa,-26.5225,31.4659
Ethiopia,Africa,9.145,40.4897
Fiji,Oceania,-17.7134,178.065
Finland,Europe,61.9241,25.7482
France,Europe,46.6034,1.8883
Gabon,Africa,-0.8037,11.6094
Gambia,Africa,13.4432,-15.3101
Georgia,Asia,42.3154,43.3569
Germany,Europe,51.1657,10.4515
Ghana,Africa,7.9465,-1.0232
Greece,Europe,39.0742,21.8243
Grenada,North America,12.1165,-61.6784
Guatemala,North America,15.7835,-90.2308
Guinea,Africa,9.9456,-9.6966
Guinea-Bissau,Africa,11.8037,-15.1804
Guyana,South America,4.8604,-58.9302
Haiti,North America,18.9712,-72.2852
Honduras,North America,15.2,-86.2419
Hungary,Europe,47.1625,19.5033
Iceland,Europe,64.9631,-19.0208
India,Asia,20.5937,78.9629
Indonesia,Asia,-0.7893,113.9213
Iran,Asia,32.4279,53.688
Iraq,Asia,33.2232,43.6793
Ireland,Europe,53.4129,-8.2439
Israel,Asia,31.0461,34.8516
Italy,Europe,41.8719,12.5674
Jamaica,North America,18.1096,-77.2975
Japan,Asia,36.2048,138.2529
Jordan,Asia,30.5852,36.2384
Kazakhstan,Asia,48.0196,66.9237
Kenya,Africa,-0.0236,37.9062
Kiribati,Oceania,-3.3704,-168.734
Kuwait,Asia,29.3759,47.9774
Kyrgyzstan,Asia,41.2044,74.7661
Laos,Asia,19.8563,102.4955
Latvia,Europe,56.8796,24.6032
Lebanon,Asia,33.8547,35.8623
Lesotho,Africa,-29.609,28.2336
Liberia,Africa,6.4281,-9.4295
Libya,Africa,26.3351,17.2283
Liechtenstein,Europe,47.166,9.5554
Lithuania,Europe,55.1694,23.8813
Luxembourg,Europe,49.8153,6.1296
Madagascar,Africa,-18.7669,46.8691
Malawi,Africa,-13.2543,34.3015
Malaysia,Asia,4.2105,101.9758
Maldives,Asia,3.2028,73.2207
Mali,Africa,17.5707,-3.9962
Malta,Europe,35.9375,14.3754
Marshall Islands,Oceania,7.1315,171.1845
Mauritania,Africa,21.0079,-10.9408
Mauritius,Africa,-20.3484,57.5522
Mexico,North America,23.6345,-102.5528
Micronesia,Oceania,7.4256,150.5508
Moldova,Europe,47.4116,28.3699
Monaco,Europe,43.7384,7.4246
Mongolia,Asia,46.8625,103.8467
Montenegro,Europe,42.7087,19.3744
Morocco,Africa,31.7917,-7.0926
Mozambique,Africa,-18.6657,35.5296
Myanmar,Asia,21.9162,95.956
Namibia,Africa,-22.9576,18.4904
Nauru,Oceania,-0.5228,166.9315
Nepal,Asia,28.3949,84.124
Netherlands,Europe,52.1326,5.2913
New Zealand,Oceania,-40.9006,174.886
Nicaragua,North America,12.8654,-85.2072
Niger,Africa,17.6078,8.0817
Nigeria,Africa,9.082,8.6753
North Korea,Asia,40.3399,127.5101
North Macedonia,Europe,41.6086,21.7453
Norway,Europe,60.472,8.4689
Oman,Asia,21.4735,55.9754
Pakistan,Asia,30.3753,69.3451
Palau,Oceania,7.515,134.5825
Panama,North America,8.538,-80.7821
Papua New Guinea,Oceania,-6.3146,143.9555
Paraguay,South America,-23.4425,-58.4438
Peru,South America,-9.19,-75.0152
Philippines,Asia,12.8797,121.774
Poland,Europe,51.9194,19.1451
Portugal,Europe,39.3999,-8.2245
Qatar,Asia,25.3548,51.1839
Romania,Europe,45.9432,24.9668
Russia,Europe,61.524,105.3188
Rwanda,Africa,-1.9403,29.8739
Saint Kitts and Nevis,North America,17.3578,-62.7828
Saint Lucia,North America,13.9094,-60.9789
Saint Vincent and the Grenadines,North America,12.9843,-61.2872
Samoa,Oceania,-13.759,-172.1046
San Marino,Europe,43.9424,12.4578
Sao Tome and Principe,Africa,0.1864,6.6131
Saudi Arabia,Asia,23.8859,45.0792
Senegal,Africa,14.4974,-14.4524
Serbia,Europe,44.0165,21.0059
Seychelles,Africa,-4.6796,55.492
Sierra Leone,Africa,8.4606,-11.7799
Singapore,Asia,1.3521,103.8198
Slovakia,Europe,48.669,19.699
Slovenia,Europe,46.1512,14.9955
Solomon Islands,Oceania,-9.6457,160.1562
Somalia,Africa,5.1521,46.1996
South Africa,Africa,-30.5595,22.9375
South Korea,Asia,35.9078,127.7669
South Sudan,Africa,6.877,31.307
Spain,Europe,40.4637,-3.7492
Sri Lanka,Asia,7.8731,80.7718
Sudan,Africa,12.8628,30.2176
Suriname,South America,3.9193,-56.0278
Sweden,Europe,60.1282,18.6435
Switzerland,Europe,46.8182,8.2275
Syria,Asia,34.8021,38.9968
Taiwan,Asia,23.6978,120.9605
Tajikistan,Asia,38.861,71.2761
Tanzania,Africa,-6.369,34.8888
Thailand,Asia,15.87,100.9925
Timor-Leste,Asia,-8.8742,125.7275
Togo,Africa,8.6195,0.8248
Tonga,Oceania,-21.1789,-175.1982
Trinidad and Tobago,North America,10.6918,-61.2225
Tunisia,Africa,33.8869,9.5375
Turkey,Europe/Asia,38.9637,35.2433
Turkmenistan,Asia,38.9697,59.5563
